bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,price
4,2.0,3342,587,2.0,0,2,3,7,1938,1989,47.18003099626399,-121.93748858389523,1207326
4,2.5,2444,10107,2.0,0,0,4,7,1904,2012,47.291500101488694,-121.89940161772833,976702
5,2.0,1181,2849,1.5,0,0,4,9,1966,0,47.49958858472549,-121.9255453617092,1090248
5,2.5,6264,91791,1.5,0,4,2,7,1921,0,47.51494578578372,-122.41813559600516,2015678
3,2.5,2063,1818,1.0,0,1,4,10,1927,2019,47.642647922063915,-121.82973465528622,1163550
3,3.0,3421,1955,2.0,0,0,4,7,1921,0,47.530717985059205,-122.03022499016132,1217437
2,3.0,1675,2792,1.0,0,0,4,9,1985,0,47.51553029306639,-122.06154271945859,1109438
4,2.0,2360,6267,1.0,0,3,4,5,1997,0,47.73864716089239,-121.6400007812182,1230382
2,2.0,2751,3071,2.0,0,3,4,8,1928,1983,47.41651252654641,-122.47677328653889,1252820
4,2.0,3324,9066,2.0,0,3,5,7,1942,1985,47.25768604508654,-122.24868508204125,1283406
4,2.0,3067,1847,2.0,0,1,2,10,1941,0,47.213252009516545,-122.37859650015726,1299260
3,1.5,2796,1234,2.0,0,0,4,12,1959,2016,47.37999621776665,-122.46465895539028,1480864
4,2.0,1544,813,2.5,0,0,2,8,2018,2015,47.598926928635585,-122.22432300232406,1172054
2,2.0,1358,531,3.0,0,0,3,10,1976,0,47.12978043945093,-121.51152372720533,873473
2,4.0,2135,2927,2.5,1,3,3,9,1970,0,47.190337370556584,-122.22977082679243,1543856
5,2.5,2882,3637,2.0,0,0,3,12,1973,1994,47.17427942207255,-121.83629418020423,1315653
3,2.0,1617,2613,1.5,0,1,5,10,1991,1991,47.50967510713602,-122.38170110995928,1252230
3,2.5,3079,17041,3.0,0,1,5,6,1967,0,47.270005255371885,-121.89815236995277,1141611
4,1.5,3738,16781,1.5,1,1,3,9,1958,0,47.21638159981098,-121.51551851686169,1553427
5,2.0,1143,3516,1.0,0,4,4,8,1995,0,47.514939503820116,-122.20816247653954,1244240
3,2.5,1189,817,2.0,0,0,4,4,1985,0,47.63291694081666,-121.65192438362442,806374
4,2.5,1685,2788,1.0,0,2,4,7,1983,0,47.332508441516865,-121.50242861963346,1089343
2,2.0,2108,2697,3.0,1,0,4,11,2011,1993,47.50474322397362,-121.91144591127926,1480748
2,4.0,1390,2547,2.0,0,0,1,11,1983,1998,47.168687089239626,-122.19059889957197,1177764
4,3.5,3554,2446,2.0,0,1,4,9,1905,2002,47.754633721320296,-121.82646874010085,1472752
4,2.5,2235,2556,2.0,0,0,4,13,1972,0,47.33582732972034,-121.65515179373138,1261727
4,2.5,1844,3339,2.0,0,2,4,10,1927,2000,47.79825398522145,-122.32864975703802,1414140
4,2.5,881,2603,1.0,0,1,5,4,1976,0,47.785011429094844,-122.04748423615855,851554
6,2.0,936,6053,2.0,0,0,5,7,1930,0,47.645176414535065,-122.18081228987616,944843
4,2.0,2080,7047,2.0,0,0,4,5,1938,2003,47.114046966784876,-122.21664100303762,865432
3,1.0,622,1977,2.0,0,1,4,6,1949,1987,47.480432444269056,-121.63917873925983,675909
5,2.5,2999,17519,2.0,0,3,5,7,1977,0,47.16078549430801,-122.07834599317816,1387613
3,2.5,1670,1844,1.0,1,1,3,8,1985,1989,47.72659661817306,-122.16092365819608,1439688
3,2.0,9150,974,1.0,0,1,3,10,1936,2014,47.65274537685318,-121.89648945857398,2509347
2,4.0,5732,7192,1.0,0,2,3,10,2017,1981,47.78063826361698,-122.28059842036262,2188809
2,3.5,1651,2170,1.5,0,1,5,8,2008,2004,47.525868067204854,-122.27010650943193,1273155
6,3.0,1714,6777,2.5,0,0,4,11,1987,2022,47.465520963139035,-121.9797112691285,1307250
5,2.5,2974,444,2.5,0,1,3,8,1971,1995,47.46328169916107,-122.09072727135381,1302993
4,3.5,4236,19780,1.5,0,1,5,10,1914,1982,47.37051386211804,-122.20501761607767,1599985
3,1.5,797,9626,2.0,0,2,4,8,1950,0,47.4280830470604,-122.44604886772589,963115
3,3.0,740,1096,2.0,0,1,5,7,2004,0,47.544788808194745,-121.97922576136148,955305
3,1.5,1324,1120,1.0,0,4,2,11,1969,1981,47.75306332528939,-121.68339079439893,1256547
3,3.0,2419,26167,1.0,0,0,4,8,1922,2004,47.51711903677922,-121.64862279471394,964978
4,2.0,2317,2351,3.0,1,4,4,8,1924,0,47.699981159622155,-122.26456002027392,1725723
4,3.5,3086,2134,2.0,0,1,4,7,1994,2020,47.70394593791175,-121.90035879605252,1470341
4,3.5,992,509,3.0,0,2,4,9,1945,0,47.46318287309378,-121.64411869053706,953860
3,1.5,567,3460,1.5,0,0,4,13,1992,1999,47.343228749048336,-122.09127407172373,1041106
6,2.5,2776,3913,2.0,0,0,3,5,1922,0,47.54770171133246,-121.56786318269248,1091977
4,4.0,1195,10051,1.0,0,2,4,10,1909,0,47.41211413934039,-121.59702147087044,1093593
4,2.5,659,1213,1.5,0,2,3,4,1972,2004,47.157008607125356,-122.2918661025812,855111
4,3.5,1944,1074,2.0,0,0,3,7,2012,0,47.3644663703027,-122.2410351670998,1125423
3,2.5,2688,7715,1.5,0,1,2,6,1976,0,47.79585049663452,-122.31955800135403,1306526
3,2.0,1700,13449,1.0,0,0,3,9,1931,0,47.133958309018404,-122.3039456485453,873296
3,2.0,1438,1021,1.5,0,4,3,5,2012,0,47.58766683833065,-121.5921379128265,1120068
5,2.0,1669,14494,1.0,0,3,4,8,1950,2004,47.68883209354987,-121.56886209080737,1233149
2,3.0,1502,5102,2.0,0,0,4,7,2008,2020,47.554108132432766,-122.44810275881487,1078978
3,2.0,921,14644,2.0,0,3,3,6,1940,0,47.4988237618143,-121.9063966443278,858226
2,2.5,1264,4581,1.0,0,3,4,9,1964,1984,47.59528809188513,-121.93576843714243,1090378
2,2.5,2346,394,1.0,0,0,2,7,1964,1992,47.40053991610976,-122.10945235327554,1096581
5,2.5,2123,4221,1.0,0,2,3,7,2000,2022,47.16395321611621,-121.8683024071769,1174545
4,3.5,1966,14187,2.0,0,1,4,7,1939,2018,47.77366022801237,-121.55263217448915,1188163
4,4.0,1099,2010,1.0,0,2,4,8,1917,1995,47.40261053898894,-122.32974511727785,1006011
2,2.0,1651,3334,2.0,0,0,4,9,1935,0,47.56577246601761,-122.37958909028355,1048017
4,3.0,608,4121,1.0,0,0,3,4,1930,0,47.47191730582251,-122.46660942917103,750712
4,3.0,1976,270,1.0,1,1,4,7,1953,0,47.13827115038429,-122.13616669215986,1275033
3,2.5,3693,26143,2.5,0,0,4,8,1962,1983,47.76692262069477,-122.16237152292213,1525622
3,4.0,865,1995,2.0,0,3,5,7,1900,1997,47.65477605828002,-122.06918031184135,1051017
3,2.0,1348,8149,1.0,0,0,3,10,2010,1988,47.204368526128576,-121.99668996911905,1130133
4,1.5,2131,4506,2.5,0,1,4,9,1951,1996,47.787154213401784,-121.74217600596954,1191136
4,3.5,3382,17285,2.0,0,3,4,9,1999,0,47.61583096052019,-122.10788660954248,1797568
2,2.0,1445,7376,2.5,0,1,5,7,1956,1997,47.430625155299815,-122.16938689063876,951580
3,3.0,1279,3885,2.0,0,1,3,9,1908,0,47.5279590395917,-121.67312117974038,939022
4,3.5,675,2011,2.0,0,4,4,10,1985,0,47.17471567741022,-121.65020332934634,1024225
4,1.5,1904,10914,3.0,0,3,3,8,2019,0,47.492288057010924,-122.26723403570665,1274511
5,3.5,5019,754,1.0,0,0,4,9,1991,2013,47.15156275041194,-122.1853281772887,1807324
4,2.0,2076,9375,2.0,1,1,3,9,1989,0,47.48139867998351,-121.6748836290899,1424874
3,2.5,1788,1637,2.0,0,4,2,8,2015,2004,47.486886982133946,-122.42059175570223,1412694
2,2.5,2123,17193,1.0,0,0,4,7,1973,0,47.71210714961252,-122.17415321960927,1212995
4,3.5,1798,5775,1.0,0,0,3,9,1955,0,47.6075402501906,-122.05164989295913,1186705
2,1.0,1204,9359,1.0,0,0,3,7,1946,2015,47.27468667455059,-122.31292838479943,800623
4,2.5,2728,5334,2.0,0,0,3,9,1902,1983,47.721898299531496,-122.3200858033893,1321554
6,2.5,2024,852,2.0,0,2,2,10,1901,0,47.5012698653936,-122.07513794198647,1226794
4,3.0,1824,2078,2.0,0,2,5,10,1953,0,47.524465635001825,-121.74547827526514,1213254
3,2.5,1110,9627,1.0,0,4,4,8,1936,2016,47.21828695845552,-121.65976702045238,934897
4,1.5,3469,5806,2.0,0,2,4,7,1955,0,47.700441517178376,-121.52076490746383,1450197
4,2.0,2520,16010,3.0,0,0,3,6,1930,1983,47.75167558051158,-122.42601594990828,1190269
4,2.0,1371,7356,1.5,0,0,5,9,1996,0,47.642493454646434,-122.28331779885401,1179321
6,3.0,2983,1869,2.0,0,4,4,10,1995,0,47.7585267168515,-121.7433701576158,1674934
3,2.0,1409,2217,2.0,0,0,4,9,2006,0,47.311609932885645,-121.95940129394434,1080470
6,2.0,1222,5447,2.0,0,0,4,6,1911,1993,47.70278341785394,-122.17232022603758,921621
6,4.0,1236,485,2.0,1,3,4,11,1957,1996,47.44222520000462,-122.29441033875275,1601420
3,1.0,745,26198,2.5,0,1,4,13,1966,0,47.21474204206051,-122.21952244835755,979047
2,4.0,2288,7644,1.5,0,0,3,8,2018,2003,47.56816041932338,-122.07071104969904,1362592
3,2.5,723,16764,2.5,0,3,3,8,2011,2009,47.57888418949411,-122.32284878049397,1149243
2,3.0,978,1011,1.0,0,4,4,9,1925,2016,47.30084715962968,-121.53577404412324,973068
2,2.0,640,17061,1.5,0,0,4,9,1977,0,47.1192453321393,-122.39241155540013,893412
4,1.0,1731,45775,1.0,0,3,2,12,1911,0,47.239893081359895,-121.51442256551078,988304
2,3.0,1677,1311,2.0,0,0,3,6,2015,2010,47.37984428337172,-121.65810671399933,1031196
3,3.0,1535,10629,2.0,0,1,4,8,1989,0,47.21729403774191,-122.07684838248626,1039127
5,3.0,1073,4920,1.0,0,3,4,9,1915,0,47.23582096376772,-121.76018366561179,961221
2,1.5,1006,1048,1.0,0,4,2,10,1952,2011,47.373973465067586,-121.82848475630361,930059
5,3.0,2280,8045,3.0,0,0,3,10,1971,0,47.77325063001599,-122.28671308205107,1442059
3,3.0,1372,11311,2.5,1,0,4,12,1948,0,47.634970460785354,-122.16092991388105,1447655
3,2.5,2117,2694,2.0,0,0,4,8,1948,0,47.3238238808586,-121.98687743719454,1065448
4,3.0,1161,15770,2.0,1,1,3,10,1991,2009,47.76612284824298,-121.86215582011228,1382133
4,3.0,1979,928,2.0,0,0,4,8,1906,0,47.55195275458111,-121.95710501864338,937903
5,2.5,3469,1102,1.5,0,1,4,8,1914,2013,47.4188147512481,-122.02701253899353,1282984
4,1.5,2423,5634,3.0,0,0,4,7,2023,1986,47.4278101392686,-122.0568477265451,1266466
5,2.5,1471,5041,1.0,0,1,5,10,2004,0,47.387521127484774,-122.00173550070498,1270469
3,1.5,2056,2400,2.0,0,0,5,13,1935,0,47.26309443678216,-122.06564848015402,1212822
3,2.0,1603,11043,1.5,0,3,3,7,1971,0,47.370642534549596,-121.95866992245428,1030307
5,2.0,1815,8357,2.0,0,0,3,5,1973,1987,47.46952746883037,-121.61201470095334,940792
5,1.5,1536,11592,2.0,0,0,3,10,1914,0,47.46961914551115,-121.86717068694539,922890
6,2.0,1665,4345,2.0,0,3,2,9,2018,2015,47.63321583154876,-121.77737912501146,1400641
3,1.5,2010,8978,1.0,1,2,2,12,1961,0,47.35115850001014,-121.90251686626922,1401557
3,3.0,1100,3147,2.0,0,0,3,7,1917,0,47.60175862051277,-121.856982317586,880001
5,3.5,1087,38323,1.0,1,0,5,6,1945,0,47.50466428713808,-121.92165017155182,1165241
3,1.5,903,2180,1.0,0,2,5,8,2000,2003,47.77329178316878,-122.47313347780418,1276759
6,4.0,812,40348,1.0,0,0,4,6,2004,0,47.369699448223784,-121.50040161779998,924277
5,2.5,983,5089,2.0,0,2,4,7,2008,0,47.73085152498255,-122.4663907597871,1252708
3,2.0,1958,1242,2.0,0,1,1,6,1960,2010,47.6744497831088,-122.10485199176635,1012798
5,1.5,1157,19304,2.0,0,0,3,7,2020,1984,47.54636499921262,-122.39488432170107,1207253
5,2.5,2337,5574,2.0,0,1,2,6,2014,1984,47.55816012671948,-122.40307154955907,1373609
3,3.0,1839,11511,2.0,0,2,4,12,1942,1985,47.15925495422449,-121.70647304832552,1149365
6,3.0,675,16711,2.0,0,3,3,7,1943,1996,47.7651572239154,-122.07407422064192,1085136
4,1.5,2508,6890,1.5,0,0,5,8,1998,0,47.17485524444702,-121.69886129170123,1099189
5,1.5,2711,2718,1.5,0,1,4,10,1965,0,47.49426331612045,-122.22721352931917,1426504
3,2.0,1100,13039,2.0,0,0,3,9,1954,2005,47.331049560314405,-122.24353720819377,903510
5,2.0,2230,4918,2.0,0,1,3,8,1985,0,47.4008963848029,-122.24876861818554,1251860
3,2.0,1178,9758,2.5,0,3,4,9,1978,1996,47.52712810758577,-121.88385437359209,1158305
2,2.0,1898,570,2.5,0,0,5,10,2000,0,47.73619596451762,-121.6850006101544,1244471
6,3.0,960,7684,1.0,0,4,4,10,1938,0,47.42029698650061,-122.04773898992475,1172957
2,3.5,737,2595,1.0,0,1,3,9,1999,0,47.79141068871451,-122.12075110935892,1190478
3,2.0,1493,25675,2.0,0,4,4,10,1904,0,47.51496844574605,-121.52642044579835,999250
6,3.5,1699,9164,1.5,0,2,3,8,1956,1990,47.21238775984952,-122.38324596398836,1093779
6,2.0,1482,6247,1.0,0,0,5,7,2011,0,47.23300650638188,-122.0133673179551,1030867
4,2.5,1000,7992,2.5,0,0,4,10,1914,0,47.60127772491247,-122.09151224681857,972212
4,2.0,1480,1810,1.0,0,0,4,8,1990,2017,47.135278455970365,-122.4018734034131,1056992
3,2.5,2068,24915,3.0,0,0,3,11,1915,0,47.43623910335556,-122.23179963791178,1083175
3,4.0,1767,36003,2.0,0,1,4,5,1956,2004,47.203753376862466,-122.47155878742089,1201293
3,2.5,1980,7280,2.0,0,1,3,8,1999,2016,47.40325304462449,-121.62304571101704,1115440
4,2.0,1293,24110,1.0,0,4,2,11,2001,2021,47.6249421954502,-121.8921504710096,1313634
5,2.5,3248,2781,1.0,0,1,3,7,1981,2014,47.421169049769006,-121.68498150212974,1263756
5,1.5,1004,2214,2.0,0,2,5,11,1998,0,47.21441577628665,-121.978445547597,1053171
5,3.5,2307,5120,1.0,0,4,4,12,1924,2020,47.27634775924965,-121.90049017057811,1294583
2,2.5,3264,7592,1.5,0,3,2,10,1921,2005,47.35727771205653,-121.79914552219084,1367646
4,2.0,2299,3314,1.5,0,0,5,8,2019,2008,47.14869282844049,-121.59198837253578,1190848
2,2.5,1633,8414,1.0,0,1,3,9,1930,0,47.50903634525678,-122.40824811217415,1065315
4,2.5,1388,6676,1.0,0,0,3,10,2022,2019,47.52527365389464,-122.16905160526427,1158534
3,1.5,3035,1811,2.0,0,0,3,9,2000,2002,47.1435063489928,-121.7909738093,1191621
5,2.5,887,8256,1.0,0,0,4,9,1933,2001,47.38161792482191,-121.54164943699861,894964
3,2.0,1113,11655,1.0,0,3,4,13,1986,0,47.38980047801931,-121.51919257150999,1136951
3,3.0,1482,5834,2.0,0,1,4,9,1915,0,47.33367369798682,-121.86189699086273,891044
3,3.0,3357,15562,3.0,0,1,4,12,1969,2020,47.490417818231776,-122.30640152224514,1581295
5,3.0,2186,1454,1.5,0,4,3,5,1958,0,47.34217024304208,-122.38079108858604,1224606
4,2.5,1114,7847,1.0,0,0,4,6,1914,0,47.39148649563447,-121.55395635571958,738463
3,2.5,1548,1524,2.0,0,1,3,8,1981,2008,47.658266483209125,-122.06607231053749,1025169
2,1.5,1329,1613,3.0,0,2,4,8,2001,0,47.21347654880114,-122.30518396673732,1047007
4,3.0,1267,2615,2.0,0,0,4,9,1912,0,47.533380286712394,-121.5661074842224,857149
2,2.0,2949,1915,2.0,0,1,4,6,1923,0,47.45391608118359,-122.39547572843568,1140539
5,2.5,910,2841,1.5,0,0,4,12,1912,0,47.31355014623554,-121.77042890314293,942652
4,2.0,4041,3967,2.0,0,3,4,7,1964,0,47.609274259543284,-121.87473697245666,1514282
2,1.5,2735,11352,1.0,0,0,2,8,2011,0,47.4858318516788,-122.41226533561911,1298385
2,2.5,3119,3564,2.0,0,0,5,7,1935,0,47.43415306887248,-122.16125120436055,1237417
6,1.5,1434,1006,2.0,0,1,2,8,1948,1988,47.56736852033984,-122.35006931045999,1113321
3,3.0,1677,15368,3.0,0,0,3,5,1981,2016,47.66160321558695,-121.89550140746684,1042009
3,2.0,883,2127,1.5,0,0,4,6,1947,0,47.7808681530235,-122.02288696832257,899228
5,1.0,1390,4634,1.0,0,1,4,9,1996,0,47.54054525786346,-122.4957248753395,1254685
6,2.5,2314,7681,2.0,0,0,2,7,2001,0,47.712107989780264,-121.52428943371609,1184255
6,1.0,3456,6000,2.0,0,1,5,7,1942,2007,47.10076407871607,-122.15041535011046,1342155
5,2.0,1039,14679,2.0,0,1,5,9,1905,2021,47.47116498490812,-122.24179560716296,910410
3,3.0,1506,7934,1.0,1,1,4,6,1980,0,47.25025328413914,-122.27755704420589,1271306
2,1.5,1676,2077,1.5,0,2,4,8,1967,0,47.165934719958194,-122.34118410382644,990093
5,3.0,899,43415,2.0,0,0,4,5,1913,1985,47.472379711945074,-121.50086292378349,598772
4,1.0,2430,5968,1.5,0,0,3,7,1929,2002,47.62277855430436,-122.2048905321184,1069461
3,2.0,1258,4241,2.5,0,2,4,9,2009,0,47.38859076573207,-122.09448650277572,1134267
6,3.0,1639,12886,2.0,0,3,5,6,1983,1987,47.5690752145411,-121.62864408382191,1275384
3,2.0,1442,6307,2.0,0,0,5,10,1907,1996,47.44280347768866,-121.85811249645712,1016101
4,1.5,1218,7326,2.0,0,1,5,11,1953,2020,47.4059601061716,-122.13130558825473,1082741
2,2.0,1801,59407,2.0,0,1,3,6,1965,0,47.303179648305104,-121.60167156407614,790933
4,2.0,1623,3732,1.5,0,1,3,13,2000,2023,47.3678154601507,-121.7502757977864,1169719
2,3.0,1501,3576,2.5,0,2,3,7,1903,0,47.3448569415561,-122.2720994924583,944045
3,2.0,1256,5522,1.5,0,0,3,6,1973,1996,47.552331028810414,-121.85626100540009,911626
3,3.0,2121,14350,2.0,0,2,3,4,1983,1982,47.1812129578954,-121.5776015017076,913415
4,3.5,4133,1089,1.0,0,0,3,8,1959,0,47.164845458081466,-122.0035391215496,1360713
4,2.0,1939,688,2.0,0,1,4,9,2019,1994,47.56200909594592,-121.76638759716833,1320194
4,3.5,2975,2732,1.5,0,3,4,7,1952,0,47.48240864891522,-121.52889625601084,1264657
6,2.0,902,959,1.5,1,1,4,10,1998,0,47.40114006771986,-121.80958585910479,1312924
3,4.0,1956,3213,3.0,0,0,4,9,2011,0,47.206710019085534,-122.39756131023393,1274401
3,1.5,1044,8123,1.0,0,4,2,7,1973,0,47.38771897830852,-122.25544044906871,906006
5,2.5,863,2016,2.0,0,3,2,9,1991,0,47.652812234324,-121.90490356265735,1199086
3,2.5,1249,1179,3.0,1,2,4,11,1914,2017,47.72273486505248,-122.2244441846281,1524821
6,2.0,3281,5267,1.0,1,1,4,6,1999,0,47.591803598974955,-121.54245829461087,1648184
2,2.5,2907,11643,2.0,0,0,4,7,1900,0,47.141938523116615,-122.09464796597783,985806
6,3.0,2041,902,1.5,0,4,2,8,1921,0,47.56928684362078,-122.04276959426764,1268797
2,1.0,840,11161,1.0,0,1,3,8,1990,0,47.268689912682404,-121.79839790652989,802809
5,2.0,1639,11128,2.0,1,3,4,8,1992,0,47.320675870118485,-121.97575026865813,1405086
4,3.0,2102,12760,3.0,0,0,5,7,1914,0,47.23711124557199,-122.11785403311123,933954
6,2.5,1973,16621,1.0,0,0,5,9,1973,0,47.64302905343414,-122.42336212484543,1337397
2,4.0,719,44445,2.0,0,4,4,9,1983,0,47.55402148584609,-121.90355441049213,1144839
4,3.0,1158,3442,2.0,0,1,4,8,1921,2002,47.528284538219424,-121.63241996920597,853867
6,4.0,1751,5483,2.5,0,0,4,6,1949,1988,47.56758082676849,-121.81423755823994,1013259
4,3.0,2364,3240,1.0,0,0,4,8,1947,0,47.26574058298273,-122.11850498995305,1104996
4,2.0,603,4924,2.0,1,1,4,7,2016,0,47.411251090027754,-122.37227393537687,1183085
4,1.5,1667,22762,2.0,0,0,5,8,2022,2010,47.54327760508429,-121.68366181309575,1170682
4,3.0,1942,1280,2.0,0,1,4,11,1972,0,47.54561581933281,-121.55825163776879,1073903
4,2.5,2765,2077,3.0,0,1,5,8,2019,2017,47.65429630392859,-122.11172700920373,1442841
4,1.0,2556,19480,2.5,0,2,3,4,1950,0,47.300972776681675,-121.77135781081594,1046751
6,2.0,2419,13630,1.0,0,0,4,8,1995,0,47.63923528518777,-122.08923656010924,1344490
2,4.0,1212,3418,2.0,0,4,4,10,1916,1998,47.40812913643185,-121.9977330611478,1106455
3,2.5,696,11549,1.5,0,0,3,9,2005,2011,47.569120884441254,-121.6635236193836,931598
6,2.0,1485,6913,1.5,0,1,4,8,1982,0,47.4190035660457,-122.41657565778884,1153121
5,2.5,2983,22032,2.0,0,0,3,7,2003,0,47.764027118853654,-121.9696646512133,1484857
4,2.0,3629,5294,1.5,1,2,4,8,1990,0,47.225511585319154,-122.28537972532878,1720087
4,2.0,2579,13706,2.0,0,4,4,8,1950,2016,47.57250356200765,-122.16019405450423,1353576
3,2.0,2240,69010,3.0,0,3,3,13,1936,1993,47.50357450053771,-121.85557117535772,1362446
3,1.5,2185,8938,1.0,0,1,4,9,1997,0,47.220911728663424,-122.47277158766315,1135456
4,3.0,1369,5163,3.0,0,1,4,9,2010,0,47.14620443506817,-121.90617490102684,1066936
3,2.0,1694,10121,2.0,1,3,4,8,1948,0,47.65940107228016,-122.21655776054625,1425276
4,3.0,4165,3410,2.0,0,4,3,7,1958,0,47.210215933552384,-121.83051563919193,1503134
2,3.5,1128,53528,2.5,0,4,5,10,1909,0,47.230554677950046,-122.35841864808694,1047050
6,2.0,4053,5884,1.5,0,0,4,8,1929,1990,47.78490395679233,-121.76418839618383,1531393
6,2.5,1539,3740,2.0,0,4,4,13,1984,0,47.60208259603364,-121.85436028023702,1536283
4,2.5,3507,2130,2.0,0,0,2,8,1920,0,47.275340789120854,-121.52875816711965,1158642
4,3.5,894,14723,1.5,0,0,5,5,2017,1987,47.51366427210612,-121.58876463674186,912988
3,2.0,2423,11698,3.0,0,0,3,9,1933,0,47.47387828688176,-122.21669713680029,1173379
5,2.5,1250,2988,2.5,0,0,4,5,1972,0,47.691131287259694,-122.47268342727456,1097171
4,2.5,891,8746,1.0,0,2,4,7,1997,0,47.61052452348284,-121.84463143888824,1069778
3,2.0,2016,1087,1.0,0,3,3,7,1949,0,47.68220478784523,-121.89711261099532,1217540
6,1.5,2995,5913,2.0,0,2,4,9,1975,2007,47.24805461158415,-122.47257123123356,1339532
5,2.5,1185,7729,1.0,1,1,3,8,1946,1990,47.548153443056904,-122.37732247079741,1315182
6,3.0,854,27101,2.0,0,1,4,5,1984,0,47.12816860089287,-121.91529829546401,857857
4,2.0,1726,2273,1.0,0,2,4,8,2020,0,47.148258428595454,-121.5881727359565,1014321
4,2.5,1730,1368,2.0,0,0,5,8,1983,0,47.599468922893216,-121.59349972348659,1119804
3,2.0,2378,2007,1.0,0,3,5,11,1905,1982,47.11709407185075,-122.34851494538792,1266192
6,3.0,2906,1291,1.5,0,2,4,8,1949,0,47.505835506230355,-122.11542605359475,1418950
5,2.0,1755,18707,2.0,0,2,4,9,2008,0,47.68828356891117,-122.45679713564783,1454731
2,3.5,4572,23124,2.0,0,1,4,7,1999,0,47.36595926589262,-122.03072815363707,1668994
2,2.0,2022,6769,3.0,0,3,3,9,1962,0,47.131388305787944,-121.7469165403268,1116537
3,2.0,1520,16668,2.5,0,0,4,9,1911,1998,47.59969321474011,-121.7100272886344,975119
5,1.5,807,5619,1.5,0,0,5,11,1940,2012,47.7507805167249,-122.00101053340343,1126426
6,1.5,1585,4468,1.0,0,2,3,5,1930,2018,47.602019974440786,-122.40413032529179,1024048
3,2.5,1528,3522,2.5,0,1,3,8,1901,0,47.50491307010194,-122.11863602481843,914302
4,2.0,2922,3603,3.0,0,3,3,9,1915,1998,47.261020180915345,-121.56789804002564,1055778
3,3.0,2278,1045,2.5,0,0,3,6,1900,1997,47.11076293683115,-122.27038744348029,825568
6,1.0,1002,6401,1.0,1,0,2,8,1903,2018,47.586270475935336,-122.18024555008728,1150200
5,2.0,1970,4720,3.0,0,3,4,11,1946,0,47.261718323091,-121.75317282453693,1182848
5,2.0,2529,10356,1.5,0,1,4,8,2015,1998,47.70071387402765,-121.76641921111406,1420276
4,1.0,3881,5396,2.0,0,1,4,13,1964,0,47.42645488318283,-121.58779771197507,1559722
3,1.5,2817,4176,3.0,0,0,3,5,1951,1987,47.47144490766072,-122.11188130927962,1136809
3,2.0,2644,2056,1.0,0,0,4,9,1946,0,47.62775558098645,-121.98540127612571,1138037
2,2.5,1863,5282,3.0,0,2,5,8,1998,2001,47.64560142546234,-122.03260753877952,1290043
5,2.0,2195,10282,1.5,0,0,5,8,1976,2010,47.54985558315639,-121.57224782897755,1184712
5,2.5,3377,1566,3.0,0,3,4,12,1949,0,47.75690227078892,-121.73066941117537,1627141
6,2.5,928,5364,1.5,0,2,2,6,1944,0,47.78760890542429,-121.66855822016615,1002118
6,1.0,1518,6204,3.0,0,0,5,10,1941,0,47.76281981106223,-122.36690173117059,1149169
4,2.5,1228,2396,1.0,0,2,4,9,1994,0,47.676925429740756,-121.70815330713184,1229067
5,4.0,2185,2730,2.0,0,1,3,7,1983,0,47.59393765417097,-122.0670212339425,1194750
6,2.5,3344,6189,2.0,0,0,3,11,1955,0,47.564328100517166,-122.47666131716936,1534971
5,2.5,1341,1582,2.0,0,0,3,8,1970,2013,47.17262512384438,-122.43991164725672,989659
3,2.0,547,6973,1.0,0,1,3,10,1956,0,47.29003904277338,-121.82209206026515,821668
4,3.0,1471,2007,2.0,0,2,2,8,2003,1988,47.10398175647057,-122.12798755885403,977768
3,3.0,2854,14226,1.0,0,1,5,10,1932,2013,47.19618690916379,-121.63188442677652,1248504
6,2.5,2365,50910,2.0,0,1,4,9,1927,2015,47.407460634018435,-121.76572686612414,1221975
4,4.0,2239,2078,1.5,0,2,4,6,2013,2003,47.20257558555235,-122.47831998833304,1411706
3,1.5,1571,8385,3.0,0,2,4,9,1943,0,47.731164390273726,-121.813111688164,1142701
4,1.0,953,2376,1.0,0,1,4,7,2013,2006,47.6639894297347,-122.30764752726765,1051063
4,3.0,2339,13918,1.0,0,2,5,8,2023,0,47.150128338462665,-122.07741743129608,1280106
3,3.0,1191,1386,1.0,0,0,5,7,1955,2016,47.27423960082709,-121.87526479787704,836912
3,1.5,5388,7947,2.0,0,3,3,5,1943,1995,47.67335031922806,-121.6272821587043,1738478
4,2.0,2404,2052,1.0,0,1,5,7,1983,2003,47.66213228859191,-122.04390211160806,1306325
4,1.0,1352,3995,2.0,0,3,4,8,1995,0,47.76181538508245,-121.69150954580887,1180143
5,2.0,1331,1752,2.5,0,1,2,8,1972,1983,47.79828343313215,-121.71703433719937,1149593
4,3.0,1725,11185,2.0,0,0,4,8,1933,2006,47.78338904426878,-122.08546148714875,1076109
5,2.5,1603,2128,2.0,0,1,4,7,1913,2010,47.38709659000501,-121.9990198365671,979969
4,2.0,3160,8535,1.0,0,0,5,9,1967,0,47.27522991066142,-121.79951498995018,1311113
4,2.0,1984,3483,2.0,0,2,3,9,1928,2018,47.63088713329894,-122.46885156535306,1290581
5,1.0,1254,4383,1.0,0,1,4,7,1978,0,47.309491024920824,-121.60918858620076,928560
